Model,Mean RMSE,RMSE StdDev,Total Time (s),Mean Time per Fold (s)
ElasticNet,1012.7966825609816,408.9379810924822,2026.439150094986,405.28783001899717
GradientBoosting,1012.6706421466295,409.4229111609778,4720.599250793457,944.1198501586914
RandomForest,1013.6147176201499,408.2897976045706,5080.317231655121,1016.0634463310241
XGBoost,1012.1565634724411,409.756419964255,5443.077267408371,1088.6154534816742
LightGBM,1014.6148076065234,408.66339364280816,3606.0706355571747,721.2141271114349
