BuoyID,Year,Hour,Min,DOY,POS_DOY,Lat,Lon,BP,Ts,Ta,iIceC,iBP,iTs,iTa_2m,iWindE_0Layer,iWindN_0Layer
300534063489320,2024,0,0,203.0,203.0,82.1968,209.0724,998,-0.7,2.4,0.79,999.27,-0.37,-0.64,9.58,6.48
300534063489320,2024,1,0,203.0417,203.0,82.1968,209.0724,999,-0.8,1.4,0.79,999.38,-0.37,-0.51,9.56,6.81
300534063489320,2024,2,0,203.0833,203.0,82.1968,209.0724,999,-0.7,0.9,0.79,999.46,-0.38,-0.46,9.65,6.84
300534063489320,2024,3,0,203.125,203.125,82.2,209.2384,999,-0.6,0.9,0.78,999.51,-0.38,-0.45,9.84,6.51
300534063489320,2024,4,0,203.1667,203.125,82.2,209.2384,999,-0.7,0.7,0.78,999.62,-0.38,-0.49,9.98,5.99
300534063489320,2024,5,0,203.2083,203.125,82.2,209.2384,999,-0.8,0.5,0.78,999.84,-0.39,-0.52,10.01,5.54
300534063489320,2024,6,0,203.25,203.25,82.2036,209.4006,1000,-0.8,0.5,0.78,1000.16,-0.49,-0.56,9.96,5.16
300534063489320,2024,7,0,203.2917,203.25,82.2036,209.4006,1000,-0.8,0.5,0.78,1000.55,-0.66,-0.62,9.64,4.87
300534063489320,2024,8,0,203.3333,203.25,82.2036,209.4006,1000,-0.9,0.4,0.78,1000.97,-0.84,-0.7,9.08,4.79
300534063489320,2024,9,0,203.375,203.375,82.2044,209.5744,1001,-0.8,0.4,0.78,1001.28,-1.0,-0.81,8.85,4.7
300534063489320,2024,10,0,203.4167,203.375,82.2044,209.5744,1001,-0.8,0.2,0.78,1001.44,-1.11,-0.89,8.56,4.56
300534063489320,2024,11,0,203.4583,203.375,82.2044,209.5744,1001,-0.9,0.0,0.77,1001.56,-1.19,-0.96,8.2,4.57
300534063489320,2024,12,0,203.5,203.5,82.201,209.665,1001,-0.9,0.2,0.77,1001.76,-1.14,-0.9,7.75,4.68
300534063489320,2024,13,0,203.5417,203.5,82.201,209.665,1001,-0.9,0.4,0.77,1001.92,-1.04,-0.83,6.93,5.04
300534063489320,2024,14,0,203.5833,203.5,82.201,209.665,1001,-0.8,0.5,0.77,1001.98,-0.91,-0.77,6.25,5.52
300534063489320,2024,15,0,203.625,203.625,82.2048,209.7332,1001,-0.8,0.8,0.77,1001.83,-0.69,-0.68,5.96,5.76
300534063489320,2024,16,0,203.6667,203.625,82.2048,209.7332,1001,-0.8,0.7,0.77,1001.66,-0.45,-0.63,5.88,5.79
